"facility_id","common_name","address","city","zip_code","block_lot","owned_leased","dept_id_for_jurisdiction","jurisdiction","gross_sq_ft","longitude","latitude","supervisor_district","city_tenants","land_id","geom","data_last_updated","data_as_of","data_loaded_at"
"685","Fire Chief's Residence","870 BUSH ST","San Francisco","94108","0274010","Own","38","Fire Department","4,500","-122.41159217899997","37.78999924100003","3",,"333","POINT (-122.411592179 37.789999241)","2026/05/14 11:57:33 PM","2026/09/02 02:21:00 PM","2026/09/10 10:25:43 AM"
"730","Fire Station #6","135 SANCHEZ ST","San Francisco","94114","3542025","Own","38","Fire Department","13,500","-122.43087415499997","37.76707870700005","8",,"313","POINT (-122.430874155 37.767078707)","2026/05/14 11:57:33 PM","2026/09/02 02:21:00 PM","2026/09/10 10:25:43 AM"
"1640","Bureau of Equipment","1415 EVANS AVE","San Francisco","94124","5236017","Own","38","Fire Department",,"-122.38557613399996","37.740878174000045","10",,"494","POINT (-122.385576134 37.740878174)","2026/05/14 11:57:33 PM","2026/09/02 02:21:00 PM","2026/09/10 10:25:43 AM"
"715","Fire Station #33","8 CAPITOL AVE","San Francisco","94112","7147046","Own","38","Fire Department","5,900","-122.45858070099996","37.71085947800003","11",,"349","POINT (-122.458580701 37.710859478)","2026/05/14 11:57:33 PM","2026/09/02 02:21:00 PM","2026/09/10 10:25:43 AM"
"698","Fire Station #16","2251 GREENWICH ST","San Francisco","94123","0515031","Own","38","Fire Department","14,000","-122.43672029099997","37.798581854000076","2",,"331","POINT (-122.436720291 37.798581854)","2026/05/14 11:57:33 PM","2026/09/02 02:21:00 PM","2026/09/10 10:25:43 AM"
"718","Fire Station #37","798 WISCONSIN ST","San Francisco","94107","4097024","Own","38","Fire Department","6,950","-122.399243851","37.75741778200006","10",,"344","POINT (-122.399243851 37.757417782)","2026/05/14 11:57:33 PM","2026/09/02 02:21:00 PM","2026/09/10 10:25:43 AM"
"726","Fire Station #43","720 MOSCOW ST","San Francisco","94112","6338024","Own","38","Fire Department","10,800","-122.43167870699995","37.71634867300003","11",,"308","POINT (-122.431678707 37.716348673)","2026/05/14 11:57:33 PM","2026/09/02 02:21:00 PM","2026/09/10 10:25:43 AM"
"724","Fire Station #41","1325 LEAVENWORTH ST","San Francisco","94109","0216003","Own","38","Fire Department","9,600","-122.41649515599994","37.793376858000045","3",,"334","POINT (-122.416495156 37.793376858)","2026/05/14 11:57:33 PM","2026/09/02 02:21:00 PM","2026/09/10 10:25:43 AM"
"702","Fire Station #2","1340 POWELL ST","San Francisco","94133","0160015","Own","38","Fire Department","16,920","-122.40987916099999","37.79703411300005","3",,"337","POINT (-122.409879161 37.797034113)","2026/05/14 11:57:33 PM","2026/09/02 02:21:00 PM","2026/09/10 10:25:43 AM"
"707","Fire Station #24","100 HOFFMAN AVE","San Francisco","94114","2801001","Own","38","Fire Department","7,600","-122.44110498099997","37.75312934900006","8",,"340","POINT (-122.441104981 37.753129349)","2026/05/14 11:57:33 PM","2026/09/02 02:21:00 PM","2026/09/10 10:25:43 AM"
"692","Fire Station #10","655 PRESIDIO AVE","San Francisco","94115","1032001","Own","38","Fire Department","14,300","-122.44672328899998","37.78562525800004","2",,"3","POINT (-122.446723289 37.785625258)","2026/05/14 11:57:33 PM","2026/09/02 02:21:00 PM","2026/09/10 10:25:43 AM"
"734","Fire Station #9","2245 JERROLD AVE","San Francisco","94124","5286A022","Own","38","Fire Department","15,000","-122.40123558199997","37.745262342000046","10",,"309","POINT (-122.401235582 37.745262342)","2026/05/14 11:57:33 PM","2026/09/02 02:21:00 PM","2026/09/10 10:25:43 AM"
"688","Fire Division of Training  - Treasure Island","600 AVENUE M","San Francisco","94130",,"Own","38","Fire Department","5,040","-122.36705181999997","37.82705932600004","6",,"1,106","POINT (-122.36705182 37.827059326)","2026/05/14 11:57:33 PM","2026/09/02 02:21:00 PM","2026/09/10 10:25:43 AM"
"703","Fire Station #20","285 OLYMPIA WAY","San Francisco","94131","2842009","Own","38","Fire Department","10,300","-122.45607669299994","37.75117124500008","7",,"582","POINT (-122.456076693 37.751171245)","2026/05/14 11:57:33 PM","2026/09/02 02:21:00 PM","2026/09/10 10:25:43 AM"
"693","Fire Station #11","3880 26TH ST","San Francisco","94131","6551043","Own","38","Fire Department","14,000","-122.426485507","37.748782317000064","8",,"307","POINT (-122.426485507 37.748782317)","2026/05/14 11:57:33 PM","2026/09/02 02:21:00 PM","2026/09/10 10:25:43 AM"
"714","Fire Station #32","194 PARK ST","San Francisco","94110","5720059","Own","38","Fire Department","10,900","-122.42116606999997","37.736322751000046","9",,"346","POINT (-122.42116607 37.736322751)","2026/05/14 11:57:33 PM","2026/09/02 02:21:00 PM","2026/09/10 10:25:43 AM"
"729","Fire Station #5 - Division 2 Headquarters","1301 TURK ST","San Francisco","94115","0756001","Own","38","Fire Department","12,600","-122.43073467999994","37.78051537400006","5",,"641","POINT (-122.43073468 37.780515374)","2026/05/14 11:57:33 PM","2026/09/02 02:21:00 PM","2026/09/10 10:25:43 AM"
"719","Fire Station #38","2150 CALIFORNIA ST","San Francisco","94115","0638016","Own","38","Fire Department","13,400","-122.42988021399998","37.789718675000074","2",,"329","POINT (-122.429880214 37.789718675)","2026/05/14 11:57:33 PM","2026/09/02 02:21:00 PM","2026/09/10 10:25:43 AM"
"710","Fire Station #28","1814 STOCKTON ST","San Francisco","94133","0077024","Own","38","Fire Department","9,350","-122.40935150799999","37.80254787500007","3",,"338","POINT (-122.409351508 37.802547875)","2026/05/14 11:57:33 PM","2026/09/02 02:21:00 PM","2026/09/10 10:25:43 AM"
"725","Fire Station #42","2430 SAN BRUNO AVE","San Francisco","94134","5924004","Own","38","Fire Department","9,300","-122.40542499599997","37.73158521200003","9",,"347","POINT (-122.405424996 37.731585212)","2026/05/14 11:57:33 PM","2026/09/02 02:21:00 PM","2026/09/10 10:25:43 AM"
"697","Fire Station #15","1000 OCEAN AVE","San Francisco","94112","3180001","Own","38","Fire Department","12,138","-122.45292662899999","37.723488631000066","7",,"588","POINT (-122.452926629 37.723488631)","2026/05/14 11:57:33 PM","2026/09/02 02:21:00 PM","2026/09/10 10:25:43 AM"
